date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:12	99368/99368	---M--	200	added ('OK')	image/svg+xml	etag:%2218428-5cc2f00e1c85c%22	http://minia.php.themesbrand.com/assets/fonts/dripicons-v2.svg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/fonts/dripicons-v2.svg	(from http://minia.php.themesbrand.com/assets/css/icons.min.css)
11:46:13	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:09%20GMT	http://minia.php.themesbrand.com/assets/images/small/img-5.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/small/img-5.jpg	(from http://minia.php.themesbrand.com/apps-contacts-profile.html)
11:46:13	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:12%20GMT	http://minia.php.themesbrand.com/assets/js/pages/pass-addon.init.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/js/pages/pass-addon.init.js	(from http://minia.php.themesbrand.com/auth-logout.html)
11:46:15	40348/40348	---M--	200	added ('OK')	application/font-sfnt	etag:%229d9c-5cc2f00e1c85c%22	http://minia.php.themesbrand.com/assets/fonts/dripicons-v2.ttf	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/fonts/dripicons-v2.ttf	(from http://minia.php.themesbrand.com/assets/css/icons.min.css)
11:46:15	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:14%20GMT	http://minia.php.themesbrand.com/assets/js/pages/calendar.init.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/js/pages/calendar.init.js	(from http://minia.php.themesbrand.com/apps-calendar.html)
11:46:16	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:15%20GMT	http://minia.php.themesbrand.com/assets/images/users/avatar-4.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/users/avatar-4.jpg	(from http://minia.php.themesbrand.com/apps-chat.html)
11:46:16	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:16%20GMT	http://minia.php.themesbrand.com/assets/images/users/avatar-5.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/users/avatar-5.jpg	(from http://minia.php.themesbrand.com/apps-chat.html)
11:46:19	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:17%20GMT	http://minia.php.themesbrand.com/assets/images/small/img-2.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/small/img-2.jpg	(from http://minia.php.themesbrand.com/apps-chat.html)
11:46:20	202616/202616	---M--	200	added ('OK')	application/font-sfnt	etag:%2231778-5cc2f00e254ff%22	http://minia.php.themesbrand.com/assets/fonts/fa-solid-900.ttf	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/fonts/fa-solid-900.ttf	(from http://minia.php.themesbrand.com/assets/css/icons.min.css)
11:46:21	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:19%20GMT	http://minia.php.themesbrand.com/assets/js/pages/email-editor.init.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/js/pages/email-editor.init.js	(from http://minia.php.themesbrand.com/apps-email-inbox.html)
11:46:21	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:20%20GMT	http://minia.php.themesbrand.com/assets/images/small/img-4.jpg	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/images/small/img-4.jpg	(from http://minia.php.themesbrand.com/apps-email-read.html)
11:46:21	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:21%20GMT	http://minia.php.themesbrand.com/assets/libs/flatpickr/flatpickr.min.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/libs/flatpickr/flatpickr.min.js	(from http://minia.php.themesbrand.com/apps-invoices-list.html)
11:46:23	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:22%20GMT	http://minia.php.themesbrand.com/assets/libs/datatables.net/js/jquery.dataTables.min.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/libs/datatables.net/js/jquery.dataTables.min.js	(from http://minia.php.themesbrand.com/apps-invoices-list.html)
11:46:23	405/405	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2030%20Jun%202022%2006:16:22%20GMT	http://minia.php.themesbrand.com/assets/libs/datatables.net-bs4/js/dataTables.bootstrap4.min.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/libs/datatables.net-bs4/js/dataTables.bootstrap4.min.js	(from http://minia.php.themesbrand.com/apps-invoices-list.html)
11:46:23	258808/258808	UR-MCZ	200	added ('OK')	application/javascript	etag:%223f2f8-5cc2f00e37de6-gzip%22	http://minia.php.themesbrand.com/assets/js/main.js	/home/mentem-007/websites/admin_dashboard/minia.php.themesbrand.com/assets/js/main.js	(from http://minia.php.themesbrand.com/apps-calendar.html)
